Year Awarded,Name,Affiliation,HPCWire Bio/Interview,Wikipedia Link,Affiliation Link
2010,Mark Barrenechea,Silicon Graphics International,https://www.hpcwire.com/mark-barrenechea/,,https://en.wikipedia.org/wiki/Silicon_Graphics_International
2010,Kyril Faenov,Microsoft,https://www.hpcwire.com/kyril-faenov/,,https://en.wikipedia.org/wiki/Microsoft
2010,Geoffrey Fox,Indiana University,https://www.hpcwire.com/geoffrey-fox/,https://en.wikipedia.org/wiki/Geoffrey_C._Fox,https://en.wikipedia.org/wiki/Indiana_University_Bloomington
2010,Kevin Franklin,University of Illinois Urbana-Champaign,https://www.hpcwire.com/kevin-franklin/,https://en.wikipedia.org/wiki/Kevin_Franklin,https://en.wikipedia.org/wiki/University_of_Illinois_Urbana-Champaign
2010,Fabio Gallo,Bull Extreme Computing Solutions,https://www.hpcwire.com/fabio-gallo/,,
2010,Jensun Huang,NVIDIA,https://www.hpcwire.com/jen-hsun-huang/,https://en.wikipedia.org/wiki/Jensen_Huang,https://en.wikipedia.org/wiki/Nvidia
2010,Thomas Lippert,Julich Supercomputing Centre,https://www.hpcwire.com/thomas-lippert/,,https://en.wikipedia.org/wiki/Forschungszentrum_J%C3%BClich
2010,Satoshi Matsuoka,Tokyo Institute of Technology,https://www.hpcwire.com/satoshi-matsuoka/,https://en.wikipedia.org/wiki/Satoshi_Matsuoka,https://en.wikipedia.org/wiki/Tokyo_Institute_of_Technology
2010,Addison Snell,InterSect360 Research,https://www.hpcwire.com/addison-snell/,,
2010,Suzy Tichenor,Oak Ridge National Laboratory,https://www.hpcwire.com/suzy-tichenor/,,https://en.wikipedia.org/wiki/Oak_Ridge_National_Laboratory
2010,Peter Ungaro,Cray,https://www.hpcwire.com/peter-ungaro/,https://en.wikipedia.org/wiki/Peter_Ungaro,https://en.wikipedia.org/wiki/Cray
2010,Steve Wallach,Convey Computer Corporation,https://www.hpcwire.com/steve-wallach/,https://en.wikipedia.org/wiki/Steve_Wallach,
2011,Edoardo Apra,Oak Ridge National Laboratory,https://www.hpcwire.com/dr-edoardo-apra/,,https://en.wikipedia.org/wiki/Oak_Ridge_National_Laboratory
2011,Wu-chun Feng,Virginia Tech,https://www.hpcwire.com/dr-wu-chun-feng/,,https://en.wikipedia.org/wiki/Virginia_Tech
2011,Melyssa Fratkin,Texas Advanced Computing Center,https://www.hpcwire.com/melyssa-fratkin/,,https://en.wikipedia.org/wiki/Texas_Advanced_Computing_Center
2011,Alan Gara,IBM,https://www.hpcwire.com/dr-alan-gara/,,https://en.wikipedia.org/wiki/IBM
2011,Bill Hilf,Microsoft,https://www.hpcwire.com/bill-hilf/,https://en.wikipedia.org/wiki/Bill_Hilf,https://en.wikipedia.org/wiki/Microsoft
2011,Richard C. Murphy,Sandia National Laboratory,https://www.hpcwire.com/dr-richard-c-murphy/,,https://en.wikipedia.org/wiki/Sandia_National_Laboratories
2011,Vsevolod Opanasenko,T-Platforms,https://www.hpcwire.com/vsevolod-opanasenko/,,https://en.wikipedia.org/wiki/T-Platforms
2011,Faye Pairman,Panasas,https://www.hpcwire.com/faye-pairman/,,https://en.wikipedia.org/wiki/VDURA
2011,Eyal Waldman,Mellanox Technologies,https://www.hpcwire.com/eyal-waldman/,https://en.wikipedia.org/wiki/Eyal_Waldman,https://en.wikipedia.org/wiki/Mellanox_Technologies
2011,Stephen Wheat,Intel,https://www.hpcwire.com/dr-stephen-wheat/,,https://en.wikipedia.org/wiki/Intel
2011,Tianhe-1A Team,China National Center for Supercomputing,https://www.hpcwire.com/tianhe-1a/,https://en.wikipedia.org/wiki/Tianhe-1,https://en.wikipedia.org/wiki/National_Supercomputing_Center_of_Tianjin
2012,David Bader,Georgia Tech,https://www.hpcwire.com/david-bader/,https://en.wikipedia.org/wiki/David_Bader_(computer_scientist),https://en.wikipedia.org/wiki/Georgia_Tech
2012,Pascal Barbolosi,Bull Group,https://www.hpcwire.com/pascal-barbolosi/,,https://en.wikipedia.org/wiki/Groupe_Bull
2012,Eric Barton,"Whamcloud, Inc.",https://www.hpcwire.com/eric-barton/,,
2012,Alex Bouzari,DataDirect Networks,https://www.hpcwire.com/alex-bouzari/,,https://en.wikipedia.org/wiki/DataDirect_Networks
2012,David Ferucci,IBM,https://www.hpcwire.com/david-ferucci/,,https://en.wikipedia.org/wiki/IBM
2012,Steve Reagan,"L & L Products, Inc.",https://www.hpcwire.com/steve-reagan/,,
2012,Jon Riley,National Center for Manufacturing Sciences,https://www.hpcwire.com/jon-riley/,,https://en.wikipedia.org/wiki/National_Center_for_Manufacturing_Sciences
2012,Mark Seager,Intel,https://www.hpcwire.com/mark-seager/,,https://en.wikipedia.org/wiki/Intel
2012,Mark Snir,University of Illinois Urbana-Champaign,https://www.hpcwire.com/mark-snir/,,https://en.wikipedia.org/wiki/University_of_Illinois_Urbana-Champaign
2012,Steve Scott,NVIDIA,https://www.hpcwire.com/steve-scott/,https://en.wikipedia.org/wiki/Steve_Scott_(computer_architect),https://en.wikipedia.org/wiki/Nvidia
2012,Tadashi Watanabi,RIKEN,https://www.hpcwire.com/tadashi-watanabi/,https://en.wikipedia.org/wiki/Tadashi_Watanabe,https://en.wikipedia.org/wiki/Riken
2012,John West,Department of Defense,https://www.hpcwire.com/john-west/,,https://en.wikipedia.org/wiki/United_States_Department_of_Defense
2012,Masahiko Yamada,Fujitsu,https://www.hpcwire.com/masahiko-yamada/,,https://en.wikipedia.org/wiki/Fujitsu
2013,Jay Boisseau,Texas Advanced Computing Center,https://www.hpcwire.com/jay-boisseau/,,https://en.wikipedia.org/wiki/Texas_Advanced_Computing_Center
2013,Diane Bryant,Intel,https://www.hpcwire.com/diane-bryant/,,https://en.wikipedia.org/wiki/Intel
2013,Dona Crawford,Lawrence Livermore National Laboratory,https://www.hpcwire.com/dona-crawford/,,https://en.wikipedia.org/wiki/Lawrence_Livermore_National_Laboratory
2013,William D. Gropp,Parallel Computing Institute,https://www.hpcwire.com/william-d-gropp/,https://en.wikipedia.org/wiki/Bill_Gropp,
2013,Sumit Gupta,NVIDIA,https://www.hpcwire.com/sumit-gupta/,,https://en.wikipedia.org/wiki/Nvidia
2013,John Gustafson,AMD,https://www.hpcwire.com/john-gustafson/,https://en.wikipedia.org/wiki/John_Gustafson_(scientist),https://en.wikipedia.org/wiki/AMD
2013,Bill Kramer,University of Illinois Urbana-Champaign,https://www.hpcwire.com/bill-kramer/,,https://en.wikipedia.org/wiki/University_of_Illinois_Urbana-Champaign
2013,Henry Markram,École Polytechnique Fédérale de Lausanne,https://www.hpcwire.com/henry-markram/,https://en.wikipedia.org/wiki/Henry_Markram,https://en.wikipedia.org/wiki/%C3%89cole_Polytechnique_F%C3%A9d%C3%A9rale_de_Lausanne
2013,Cynthia McIntyre,Council on Competitiveness,https://www.hpcwire.com/cynthia-mcintyre/,https://en.wikipedia.org/wiki/Cynthia_Roberta_McIntyre,https://en.wikipedia.org/wiki/U.S._Council_on_Competitiveness
2013,Thomas Sterling,Indiana University,https://www.hpcwire.com/thomas-sterling/,https://en.wikipedia.org/wiki/Thomas_Sterling_(computing),https://en.wikipedia.org/wiki/Indiana_University_Bloomington
2013,Pete Ungaro,Cray,https://www.hpcwire.com/pete-ungaro/,https://en.wikipedia.org/wiki/Peter_Ungaro,https://en.wikipedia.org/wiki/Cray
2013,Weimin Zheng,Tsinghua University,https://www.hpcwire.com/weimin-zheng/,https://en.wikipedia.org/wiki/Zheng_Weimin,https://en.wikipedia.org/wiki/Tsinghua_University
2014,David Bader,Georgia Tech,https://www.hpcwire.com/david-bader/,https://en.wikipedia.org/wiki/David_Bader_(computer_scientist),https://en.wikipedia.org/wiki/Georgia_Tech
2014,Trish Damkroger,Lawrence Livermore National Laboratory,https://www.hpcwire.com/trish-damkroger/,,https://en.wikipedia.org/wiki/Lawrence_Livermore_National_Laboratory
2014,André Eriksen,Asetek,https://www.hpcwire.com/andre-eriksen/,,https://en.wikipedia.org/wiki/Asetek
2014,Bo Ewald,D-Wave Systems,https://www.hpcwire.com/bo-ewald/,,https://en.wikipedia.org/wiki/D-Wave_Systems
2014,Gary Grider,Los Alamos National Laboratory,https://www.hpcwire.com/gary-grider/,,https://en.wikipedia.org/wiki/Los_Alamos_National_Laboratory
2014,Raj Hazra,Intel,https://www.hpcwire.com/raj-hazra/,,https://en.wikipedia.org/wiki/Intel
2014,Diego Klahr,Total E&P,https://www.hpcwire.com/diego-klahr/,,
2014,Richard C. Murphy,Micron,https://www.hpcwire.com/richard-c-murphy/,,https://en.wikipedia.org/wiki/Micron_Technology
2014,Stephane Requena,Grand Equipement National De Calcul Intensif,https://www.hpcwire.com/stephane-requena/,,https://en.wikipedia.org/wiki/GENCI
2014,Happy Sithole,National Integrated Cyberinfrastructure System,https://www.hpcwire.com/happy-sithole/,,
2014,John Towns,University of Illinois Urbana-Champaign,https://www.hpcwire.com/john-towns/,,https://en.wikipedia.org/wiki/University_of_Illinois_Urbana-Champaign
2014,Isabella Weger,European Centre for Medium-Range Weather Forecasts,https://www.hpcwire.com/isabella-weger/,,https://en.wikipedia.org/wiki/European_Centre_for_Medium-Range_Weather_Forecasts
2014,Kent Winchell,Cray,https://www.hpcwire.com/kent-winchell/,,https://en.wikipedia.org/wiki/Cray
2014,Charles Wuischpard,Intel,https://www.hpcwire.com/charles-wuischpard/,,https://en.wikipedia.org/wiki/Intel
2014,Masako Yamada,GE Research,https://www.hpcwire.com/masako-yamada/,,
2014,Thomas Zacharia,Qatar Foundation,https://www.hpcwire.com/thomas-zacharia/,https://en.wikipedia.org/wiki/Thomas_Zacharia,https://en.wikipedia.org/wiki/Qatar_Foundation
2015,Katie Antypas,Lawrence Berkeley Lab,,,https://en.wikipedia.org/wiki/Lawrence_Livermore_National_Laboratory
2015,Buddy Bland,Oak Ridge National Laboratory,,,https://en.wikipedia.org/wiki/Oak_Ridge_National_Laboratory
2015,Merle Giles,University of Illinois Urbana-Champaign,,,https://en.wikipedia.org/wiki/University_of_Illinois_Urbana-Champaign
2015,Eng Lim Goh,Silicon Graphics International,,,https://en.wikipedia.org/wiki/Silicon_Graphics_International
2015,Michael Heroux,Sandia National Laboratory,,,https://en.wikipedia.org/wiki/Sandia_National_Laboratories
2015,Ken King,IBM,,,https://en.wikipedia.org/wiki/IBM
2015,Bernd Mohr,Julich Supercomputing Centre,,,https://en.wikipedia.org/wiki/Forschungszentrum_J%C3%BClich
2015,Jason Stowe,Cycle Computing,,,https://en.wikipedia.org/wiki/Cycle_Computing
2015,Scott Tease,Lenovo,,,https://en.wikipedia.org/wiki/Lenovo
2015,Ryan Waite,Cray,,,https://en.wikipedia.org/wiki/Cray
2015,Charles Wuischpard,Intel,,,https://en.wikipedia.org/wiki/Intel
2015,Mike Yang,Quanta,,,https://en.wikipedia.org/wiki/Quanta_Computer
2016,Toni Collis,Women in HPC,,,
2016,Jim Ganthier,Dell,,,https://en.wikipedia.org/wiki/Dell
2016,Sumit Gupta,IBM,,,https://en.wikipedia.org/wiki/IBM
2016,Yutong Lu,National University of Defense Technology,,,https://en.wikipedia.org/wiki/National_University_of_Defense_Technology
2016,Bill Mannel,HPE,,,https://en.wikipedia.org/wiki/Hewlett_Packard_Enterprise
2016,Hartmut Neven,Google,,https://en.wikipedia.org/wiki/Hartmut_Neven,https://en.wikipedia.org/wiki/Google
2016,William “Tim” Polk,Office of Science and Technology Policy,,,https://en.wikipedia.org/wiki/Office_of_Science_and_Technology_Policy
2016,Irene Qualters,National Science Foundation,,,https://en.wikipedia.org/wiki/National_Science_Foundation
2016,Thomas Sohmers,REX Computing,,,https://en.wikipedia.org/wiki/CP/M
2016,John West,Texas Advanced Computing Center,,,https://en.wikipedia.org/wiki/Texas_Advanced_Computing_Center
2016,Kathy Yelick,Lawrence Berkeley Lab,,https://en.wikipedia.org/wiki/Katherine_Yelick,https://en.wikipedia.org/wiki/Lawrence_Livermore_National_Laboratory
2017,Ian Buck,NVIDIA,,,https://en.wikipedia.org/wiki/Nvidia
2017,Adolfy Hoisie,Pacific Northwest National Laboratory,,,https://en.wikipedia.org/wiki/Pacific_Northwest_National_Laboratory
2017,John Martinis,Google,,https://en.wikipedia.org/wiki/John_M._Martinis,https://en.wikipedia.org/wiki/Google
2017,Satoshi Matsuoka,Artificial Intelligence Research Center,,https://en.wikipedia.org/wiki/Satoshi_Matsuoka,
2017,Paul Messina,Argonne National Laboratory,,,https://en.wikipedia.org/wiki/Argonne_National_Laboratory
2017,Bernd Mohr,Julich Supercomputing Centre,,,https://en.wikipedia.org/wiki/Forschungszentrum_J%C3%BClich
2017,Andrew Ng,Baidu,,https://en.wikipedia.org/wiki/Andrew_Ng,https://en.wikipedia.org/wiki/Baidu
2017,Kirk Skaugen,Lenovo,,,https://en.wikipedia.org/wiki/Lenovo
2017,Avinash Sodani,Cavium,,,https://en.wikipedia.org/wiki/Cavium
2017,Lisa Su,AMD,,https://en.wikipedia.org/wiki/Lisa_Su,https://en.wikipedia.org/wiki/AMD
2017,Jeffrey Vetter,Oak Ridge National Laboratory,,https://en.wikipedia.org/wiki/Jeffrey_Vetter,https://en.wikipedia.org/wiki/Oak_Ridge_National_Laboratory
2017,Guangwen Yang,National Supercomputing Center in Wuxi,,,https://en.wikipedia.org/wiki/Supercomputing_in_China
2018,Antonio Neri,HPE,,https://en.wikipedia.org/wiki/Antonio_Neri_(businessman),https://en.wikipedia.org/wiki/Hewlett_Packard_Enterprise
2018,Bob Picciano,IBM,,,https://en.wikipedia.org/wiki/IBM
2018,Brett Tanzer,Microsoft,,,https://en.wikipedia.org/wiki/Microsoft
2018,Dan Stanzione,Texas Advanced Computing Center,,,https://en.wikipedia.org/wiki/Texas_Advanced_Computing_Center
2018,Diane Bryant,Google,,https://en.wikipedia.org/wiki/Diane_Bryant,https://en.wikipedia.org/wiki/Google
2018,Doug Kothe,Oak Ridge National Laboratory,,,https://en.wikipedia.org/wiki/Oak_Ridge_National_Laboratory
2018,Earl Joseph,Hyperion,,,
2018,Frederick Kohout,Cray,,,https://en.wikipedia.org/wiki/Cray
2018,Ian Colle,Amazon,,,https://en.wikipedia.org/wiki/Amazon_(company)
